"filename", "language", "HTML", "JavaScript", "XML", "JSON", "Properties", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\Manage.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 3, 78
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\NotFound.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\Product.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 1, 6, 94
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\SignIn.js", "JavaScript", 0, 112, 0, 0, 0, 0, 0, 0, 5, 117
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\User.js", "JavaScript", 0, 279, 0, 0, 0, 0, 0, 4, 14, 297
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\slices\authSlice.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 1, 6, 120
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\slices\modelSlice.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 1, 5, 22
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\store\store.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\tailwind.config.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"Total", "-", 66, 3520, 1, 20896, 2, 54, 289, 102, 251, 25181
