"filename", "language", "JavaScript", "SCSS", "JSON", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\Manage.js", "JavaScript", 77, 0, 0, 0, 3, 80
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\ManageCategories.js", "JavaScript", 237, 0, 0, 3, 15, 255
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\ManagePermissions.js", "JavaScript", 253, 0, 0, 3, 9, 265
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\ManageProducts.js", "JavaScript", 243, 0, 0, 18, 11, 272
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\ManageRoles.js", "JavaScript", 252, 0, 0, 3, 13, 268
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\ManageUsers.js", "JavaScript", 287, 0, 0, 9, 12, 308
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\DashboardAdmin.js", "JavaScript", 70, 0, 0, 0, 3, 73
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\Detail.js", "JavaScript", 2, 0, 0, 0, -3, -1
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\Home.js", "JavaScript", -2, 0, 0, 0, 0, -2
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\Manage.js", "JavaScript", -75, 0, 0, 0, -3, -78
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\Product.js", "JavaScript", -3, 0, 0, -1, -1, -5
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\User.js", "JavaScript", -279, 0, 0, -4, -14, -297
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\slices\authSlice.js", "JavaScript", -1, 0, 0, 0, 0, -1
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\slices\roleSlice.js", "JavaScript", 23, 0, 0, 3, 6, 32
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\store\store.js", "JavaScript", 2, 0, 0, 0, 0, 2
"Total", "-", 651, 7, 244, 50, 125, 1077
